item,itemLabel,itemDescription,SSRNidValue
http://www.wikidata.org/entity/Q3182794,John Yoo,American attorney,180248
http://www.wikidata.org/entity/Q2901043,Robert Cooter,American economist and legal scholar,98588
http://www.wikidata.org/entity/Q20968991,Molly Shaffer Van Houweling,"an American cyclist, academic and legal scholar",449531
http://www.wikidata.org/entity/Q5216328,Daniel A Farber,American author and historian,102259
http://www.wikidata.org/entity/Q5396105,Erwin Chemerinsky,"an American dean, professor, lawyer, and author",17398
http://www.wikidata.org/entity/Q7129255,Pamela Samuelson,American lawyer and professor,238445
http://www.wikidata.org/entity/Q7422790,Sarah Song,American legal scholar and political scientist,951660
http://www.wikidata.org/entity/Q28967551,Khiara Bridges,American anthropologist and legal academic,1548302
http://www.wikidata.org/entity/Q4661990,Aaron Edlin,economist and legal scholar,94
http://www.wikidata.org/entity/Q15529476,Jerome Skolnick,American criminologist,23656
http://www.wikidata.org/entity/Q16728031,Chris Hoofnagle,legal academic,364326
http://www.wikidata.org/entity/Q22077864,Franklin Zimring,legal academic,98088
http://www.wikidata.org/entity/Q63616748,Amanda Tyler,legal academic,410427
http://www.wikidata.org/entity/Q2150122,Richard Buxbaum,legal academic,1289238
http://www.wikidata.org/entity/Q5318702,Dylan Penningroth,a historian and professor,1125131
http://www.wikidata.org/entity/Q5488901,Frank Partnoy,an American professor of law and author,168468
http://www.wikidata.org/entity/Q6438162,Kristin Luker,American sociologist and legal scholar,602766
http://www.wikidata.org/entity/Q6813927,Melvin A. Eisenberg,American legal academic,70068
http://www.wikidata.org/entity/Q7152126,Paul M Schwartz,author and law professor,68128
http://www.wikidata.org/entity/Q16973024,Ian Haney-López,American legal scholar,1289974
http://www.wikidata.org/entity/Q20035599,Catherine Crump,American legal academic,1325515
http://www.wikidata.org/entity/Q20675725,Eric Stover,legal academic,378127
http://www.wikidata.org/entity/Q20714894,Victoria Plaut,legal academic,1694784
http://www.wikidata.org/entity/Q29961382,Alan J. Auerbach,American economist,20523
http://www.wikidata.org/entity/Q51920513,Jesse H Choper,an American constitutional law scholar and a former dean,255575
http://www.wikidata.org/entity/Q61905647,Daniel Rubinfeld,American economist and law professor,569
http://www.wikidata.org/entity/Q63616490,Sonia Katyal,American legal scholar,115375
http://www.wikidata.org/entity/Q63616511,Andrea L Roth,legal academic,1092777
http://www.wikidata.org/entity/Q63616512,Steven Davidoff Solomon,legal academic,576465
http://www.wikidata.org/entity/Q63616739,Rachel E Stern,legal academic,968148
http://www.wikidata.org/entity/Q63616741,Talha Syed,legal academic,478877
http://www.wikidata.org/entity/Q63616747,Christopher L Tomlins,legal academic,2273085
