SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,SSRN Downloads,SSRN Article Rank,SSRN Citations,Keywords
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4217679,4217679,Catastrophic Uncertainty and Regulatory Impact Analysis,"
			LawAI Working Paper No. 2-2022
		",23,2022-Sep-14,2024-May-13,"{'\r\n\t\t\tDaniel A. Farber\r\n\t\t': '\r\n\t\t\tUniversity of California, Berkeley - School of Law\r\n\t\t'}",64,"648,236",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4482489,4482489,Turning Point: Green Industrial Policy and the Future of U.S. Climate Action,,30,2023-Jun-25,2024-May-13,"{'\r\n\t\t\tDaniel A. Farber\r\n\t\t': '\r\n\t\t\tUniversity of California, Berkeley - School of Law\r\n\t\t'}",133,"399,965",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4710933,4710933,Rewriting NEPA: Statutory Continuity and Disruption in a Polarized Era,,48,2024-Feb-21,2024-Mar-20,"{'\r\n\t\t\tDaniel A. Farber\r\n\t\t': '\r\n\t\t\tUniversity of California, Berkeley - School of Law\r\n\t\t'}",111,"455,707",none,"Law, Legal Scholarship, Legal Realism, Legal Formalism, Progressive Era, Legal History"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4765121,4765121,Inequality and Regulation Revisited,"
			UC Berkeley Public Law Research Paper Forthcoming
		",,2024-Apr-18,None,"{'\r\n\t\t\tDaniel A. Farber\r\n\t\t': '\r\n\t\t\tUniversity of California, Berkeley - School of Law\r\n\t\t'}",none,none,none,"NEPA, transparency, Environmental Assessments, Environmental Impact Statements"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4770671,4770671,Thinking About Possible Remedies in the Generative AI Copyright Cases,"
			Communications of the ACM, forthcoming
		",7,2024-Apr-11,None,"{'\r\n\t\t\tPamela Samuelson\r\n\t\t': '\r\n\t\t\tUniversity of California, Berkeley - School of Law\r\n\t\t'}",128,"419,448",3,"copyright, transformative, fair use, Google, HathiTrust, Authors Alliance, academic authors, search engine"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4783341,4783341,Will the EU's Digital Services Act Become a Global Transparency Regime?,"
			Verfassungsblog (forthcoming, March 2024)
		",8,2024-Apr-11,None,"{'\nNatali Helberger': '\r\n\t\t\tUniversity of Amsterdam - Institute for Information Law (IViR)', 'Pamela Samuelson\r\n\t\t': 'University of California, Berkeley - School of Law\r\n\t\t'}",32,"846,053",none,"copyright, software, merger, structure sequence & organization (SSO), patent, words and short phrases"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4770725,4770725,Did the Solicitor General Hijack the Warhol v. Goldsmith Case?,"
			Columbia Journal of Law & the Arts, Forthcoming
		",42,2024-Apr-11,None,"{'\r\n\t\t\tPamela Samuelson\r\n\t\t': '\r\n\t\t\tUniversity of California, Berkeley - School of Law\r\n\t\t'}",22,"937,033",none,"copyright law, Solicitor General, Supreme Court, Copyright Office, amicus curiae"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2384948,2384948,Cartels by Another Name: Should Licensed Occupations Face Antitrust Scrutiny?,"
			University of Pennsylvania Law Review, Forthcoming, UC Berkeley Public Law Research Paper No. 2384948, Vanderbilt Law and Economics Research Paper No. 14-17
		",58,2014-Jan-26,2024-Mar-28,"{'\r\n\t\t\tAaron S. Edlin': '\r\n\t\t\tUniversity of California at Berkeley', 'Rebecca Haw Allensworth\n': 'Vanderbilt University - Vanderbilt Law School\r\n\t\t'}",521,"101,574",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4751435,4751435,What is Consumer Privacy?,,27,2024-Apr-25,None,"{'\r\n\t\t\tChris Jay Hoofnagle\r\n\t\t': '\r\n\t\t\tUniversity of California, Berkeley - School of Law\r\n\t\t'}",7,"1,087,007",none,"CDA, DMCA, internet intermediaries, opioids, ""Canadian pharmacies,"" CFAA"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4816273,4816273,The Externality of Discounted Externalities,"
			Journal of Law and Political Economy, 'Corporate Governance, Finance & Climate Change' [special issue], Forthcoming , Boston College Law School Legal Studies Research Paper No. 628
		",30,2024-May-03,None,"{'\nKent Greenfield': '\r\n\t\t\tBoston College Law School', 'Frank Partnoy\r\n\t\t': 'University of California, Berkeley - School of Law\r\n\t\t'}",20,"967,311",none,"Financial risk, financial risk management, Delaware, financial risk and the modern corporate contract"
