SSRN Abstract URL,SSRN Article id,Article Title,Article Citation,Number of pages,Posted date,Last Revised,Authors,SSRN Downloads,SSRN Article Rank,SSRN Citations,Keywords
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=438123,438123,The Status of Terrorists,,21,2003-Aug-27,None,"{'John Yoo': 'University of California at Berkeley School of Law', 'James C. Ho': 'Independe'}","2,803","7,405",1,"Terrorism, International Law, Laws of War, Laws of Armed Conflict"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=426860,426860,The Origins of Judicial Review,,90,2003-Aug-11,None,"{'John Yoo': 'University of California at Berkeley School of Law', 'Saikrishna Prakash': 'University of Virginia School of Law'}","2,774","7,544",2,"constitutional law, judicial review, separation of powers, federal courts, legal history"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=492002,492002,International Law and the War in Iraq,UC Berkeley Public Law Research Paper No. 145,19,2004-Feb-20,None,{'John Yoo': 'University of California at Berkeley School of Law'},"2,693","7,885",1,"international law, use of force, Iraq war, self-defense"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=530022,530022,Using Force,,62,2004-Apr-13,None,{'John Yoo': 'University of California at Berkeley School of Law'},"2,318","10,036",1,"International law, use of force, self-defense, Iraq, war"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=507003,507003,A Theory of International Adjudication,"U Chicago Law & Economics, Olin Working Paper No.  206; UC Berkeley Public Law Research Paper No. 146",72,2004-Mar-01,None,"{'Eric A. Posner': 'University of Chicago - Law School', 'John Yoo': 'University of California at Berkeley School of Law'}","2,224","10,744",14,"international adjudication, international arbritration, international law, dispute resolution"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2144031,2144031,"The Obama Administration, the Dream Act and the Take Care Clause","Texas Law Review, Vol. 91, No. 4, 2013, U of St. Thomas Legal Studies Research Paper No. 12-27, UC Berkeley Public Law Research Paper No. 2144031",57,2012-Sep-10,2012-Oct-09,"{'John Yoo': 'University of California at Berkeley School of Law', 'Robert J. Delahunty': 'University of St. Thomas School of Law (Minnesota)'}","1,872","14,135",1,"immigration, executive power, legislative power, Presidency, separation of powers"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=616062,616062,"War, Responsibility, and the Age of Terrorism",,31,2005-Jan-10,None,{'John Yoo': 'University of California at Berkeley School of Law'},"1,562","18,661",none,"War powers, presidential power, terrorism, use of force"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=975333,975333,The Terrorist Surveillance Program and the Constitution,"George Mason Law Review, Vol. 14, 2007, UC Berkeley Public Law Research Paper No. 975333",48,2007-Mar-27,None,{'John Yoo': 'University of California at Berkeley School of Law'},"1,076","32,463",none,"terrorism, surveillance, president, separation of powers, intelligence"
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=901997,901997,International Law and the Rise of China,"Chicago Journal of International Law, Forthcoming, U of Chicago, Public Law Working Paper No. 127, UC Berkeley Public Law Research Paper No. 901997",21,2006-May-15,None,"{'Eric A. Posner': 'University of Chicago - Law School', 'John Yoo': 'University of California at Berkeley School of Law'}","1,075","32,503",none,
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2369192,2369192,The Legality of the National Security Agency\'s Bulk Data Surveillance Programs,"Harvard Journal of Law and Public Policy, Forthcoming, UC Berkeley Public Law Research Paper No. 2369192",21,2013-Dec-19,None,{'John Yoo': 'University of California at Berkeley School of Law'},962,"37,969",1,
